Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Invoice Shipping Cost,Estimated Shipping Cost,Flag,Profit,,
A53,11305113955229053,12/1/20,20024624,L,12,A53,67.87,67.46,10.18,37.74,19.54,9.99,1,0.41,,
A54,11172553652977867,12/1/20,20024625,L,2,A54,17.78,16.78,1.42,6.32,9.04,5.75,1,1,,
A55,11176646048866619,12/1/20,20024626,L,12,A55,24.85,25.24,3.73,13.43,8.08,6.99,1,-0.39,,
A56,11257718902074666,12/1/20,20024609,I,1,A56,217.7,202.93,17.42,152.99,32.52,32.52,0,14.77,,
A57,11342161862128236,12/1/20,20024628,L,4,A57,13.55,14.92,1.08,4.8,9.04,6.99,1,-1.37,,
A58,11142134441553803,12/1/20,20024611,J,1,A58,276.13,279.24,29.09,237.28,12.87,14.61,1,-3.11,,
A59,11297057520482603,12/1/20,20024630,C,1,A59,100.65,101.87,15.1,70.09,16.68,17.48,1,-1.22,,
A60,11235977838068263,12/1/20,20024632,L,12,A60,36.78,37.65,5.52,22.38,9.75,8.75,1,-0.87,,
A61,11372029140102655,12/1/20,20024643,L,2,A61,44.2,38.78,6.64,23.64,8.5,7.5,1,5.42,,
A62,11126447563576251,12/1/20,20024667,L,12,A62,43.62,53.91,6.54,27.96,19.41,9.99,1,-10.29,,
A63,11172379051403454,12/1/20,20024644,C,1,A63,24.97,26.47,3.75,9.11,13.61,11.98,1,-1.5,,
A64,11448045691649042,12/1/20,20024666,L,6,A64,38.5,40.66,5.78,22.92,11.96,9.99,1,-2.16,,
A65,11145072481155438,12/1/20,20024645,C,1,A65,32.2,31.4,4.83,17.52,9.05,9.6,1,0.8,,
A66,11251888790897852,12/1/20,20024665,L,12,A66,44.13,48.54,6.62,26.45,15.47,9.99,1,-4.41,,
A67,11368584231443444,12/1/20,20024647,L,1,A67,50.56,51.84,7.58,35.67,8.59,4.75,1,-1.28,,
A68,11396343532066623,12/1/20,20024646,L,1,A68,12.47,11.74,1.87,5.1,4.77,4.75,1,0.73,,
A69,11119940243001046,12/1/20,20024664,L,6,A69,55.94,58.29,8.39,39.78,10.12,8.75,1,-2.35,,
A70,11463638102721831,12/1/20,20024649,C,1,A70,22.82,24.25,3.42,8.93,11.9,10.93,1,-1.43,,
A71,11224238414878608,12/1/20,20024650,L,3,A71,28.04,25.79,4.21,18.03,3.55,5.75,1,2.25,,
A72,11443037324087437,12/1/20,20024633,J,1,A72,157.64,175.01,23.65,127.4,23.96,10.9,1,-17.37,,
A73,11332025637692257,12/1/20,20024663,L,48,A73,68.98,68.63,10.35,35.57,22.71,13.99,1,0.35,,
A74,11105020041085013,12/1/20,20024662,L,6,A74,25.48,24.51,3.82,13.57,7.12,7.5,1,0.97,,
A75,11215255962410636,12/1/20,20024661,L,6,A75,25.48,24.51,3.82,13.57,7.12,7.5,1,0.97,,
A76,11361308991486629,12/1/20,20024660,L,12,A76,55.09,69.24,8.26,30.72,30.26,14.99,1,-14.15,,
A77,11140681896993038,12/1/20,20024659,L,1,A77,31.62,32.3,4.74,20.52,7.04,6.99,1,-0.68,,
A78,11491447954548248,12/1/20,20024658,L,12,A78,27,36.49,4.05,14.03,18.41,9.99,1,-9.49,,
A79,11225588602156208,12/1/20,0273-11-,G,1,A79,139.78,157.33,11.18,119.83,26.32,11.5,1,-17.55,,
A80,11382136526485857,12/1/20,20024651,L,2,A80,30.22,23.23,4.53,14.26,4.44,5.75,1,6.99,,
A81,11468988546855461,12/1/20,20024657,L,1,A81,9.12,12.82,0.73,2.57,9.52,5.75,1,-3.7,,
A82,11160956948276226,12/1/20,20024639,L,3,A82,41.02,34.91,6.15,24.15,4.61,5.75,1,6.11,,
A83,11149546726456223,12/1/20,20024640,L,1,A83,46.31,41.69,6.95,26.49,8.25,6.99,1,4.62,,
A84,11467815802349843,12/1/20,0274-11-,G,1,A84,157.64,179.6,23.65,134.62,21.33,11.99,1,-21.96,,
A85,11264463910617865,12/1/20,20024641,L,1,A85,21.73,21.31,3.26,10.16,7.89,6.99,1,0.42,,
A86,11420147888973859,12/1/20,0276-11-,G,1,A86,139.78,155.05,11.18,119.83,24.04,11.5,1,-15.27,,
A87,11375650751955442,12/1/20,0277-11-,G,1,A87,139.78,151.23,11.18,119.83,20.22,11.5,1,-11.45,,
A88,11468524759351458,12/1/20,20024653,J,1,A88,214.87,225.74,24.19,187.38,14.17,14.61,1,-10.87,,
A89,11452124166712215,12/1/20,20024656,L,10,A89,39.38,38.17,5.91,23.76,8.5,7.5,1,1.21,,
A90,11360965959323449,12/1/20,20024655,L,12,A90,45.22,42.64,6.78,26.54,9.32,9.5,1,2.58,,
A91,11312757795475414,12/1/20,20024669,L,60,A91,98.87,102.76,14.83,64.05,23.88,14.5,1,-3.89,,
A92,11240742866488231,12/1/20,20024670,L,12,A92,24.85,25.41,3.73,13.43,8.25,6.99,1,-0.56,,
A93,11460423489047415,12/1/20,20024672,L,1,A93,18.31,17.38,2.75,11.01,3.62,4.75,1,0.93,,
A94,11395876800961015,12/1/20,20024642,L,1,A94,32.19,30.96,4.83,21.73,4.4,4.75,1,1.23,,
A95,11221093855502605,12/1/20,20024671,L,12,A95,36.09,34.04,5.41,17.19,11.44,8.75,1,2.05,,
A96,11436909349889801,12/1/20,20024674,L,6,A96,32.52,31.37,4.88,14.92,11.57,9.99,1,1.15,,
A97,11157318192961800,12/1/20,20024673,L,6,A97,51.76,48.61,7.76,21.1,19.75,15.75,1,3.15,,
A98,11189450762237028,12/1/20,20024675,L,6,A98,23.63,24.15,3.54,13.57,7.04,6.99,1,-0.52,,
A99,11267765537982615,12/1/20,20024677,L,1,A99,50.48,52.28,7.57,35.67,9.04,4.75,1,-1.8,,
A100,11425214605068250,12/1/20,20024676,C,1,A100,30.83,21.1,4.62,5.71,10.77,11.3,1,9.73,,
A101,11227796016804233,12/1/20,20024690,J,1,A101,177.18,182.18,21.17,149.96,11.05,9.05,1,-5,,
A102,11396966885949813,12/1/20,20024692,J,1,A102,132.03,134.71,7.92,115.85,10.94,10.9,1,-2.68,,
A103,11254943149077024,12/1/20,20024678,L,1,A103,16.67,12.25,2.5,6.12,3.63,4.75,1,4.42,,
A104,11106687211481003,12/1/20,20024679,L,1,A104,18.27,18.05,2.74,11.01,4.3,4.75,1,0.22,,
A105,11308387619727439,12/1/20,20024680,L,2,A105,19.76,18.15,2.96,10.54,4.65,5.75,1,1.61,,
A106,11444495415373015,12/1/20,20024683,L,1,A106,14.48,13.06,2.17,7.61,3.28,4.75,1,1.42,,
A107,11442935672131457,12/1/20,20024685,L,1,A107,29.57,28.29,4.44,20.22,3.63,4.75,1,1.28,,
A108,11350877184070656,12/1/20,20024686,L,50,A108,50.57,59.83,7.59,31.46,20.78,9.99,1,-9.26,,
A109,11179346641124241,12/1/20,20024689,C,1,A109,38.46,39.39,5.77,21.02,12.6,12.44,1,-0.93,,
A110,11266930721184234,12/1/20,20025454,L,2,A110,12.39,12.5,0.99,6.9,4.61,4.75,1,-0.11,,
A111,11113712928804228,12/1/20,20024688,H,1,A111,23.73,22.52,3.56,14.21,4.75,4.75,0,1.21,,
A112,11343207965597813,12/1/20,20024687,L,2,A112,18.5,18.48,2.78,11.26,4.44,4.75,1,0.02,,
A113,11300854145573009,12/1/20,20025453,L,24,A113,86.4,81.19,12.96,55.08,13.15,9.5,1,5.21,,
A114,11225181786872251,12/1/20,20025452,L,12,A114,53.77,52.96,8.07,28.63,16.26,13.99,1,0.81,,
A115,11345859740473839,12/1/20,20025451,L,12,A115,44.36,43.84,6.65,25.09,12.1,7.5,1,0.52,,
A116,11247394562465854,12/1/20,20024710,L,2,A116,22.83,21.42,3.42,14.42,3.58,4.75,1,1.41,,
A117,11224984340845837,12/1/20,20024711,L,1,A117,14.05,13.96,1.12,5.85,6.99,6.99,0,0.09,,
A118,11493488602321055,12/1/20,20025450,L,1,A118,17.27,16.17,2.59,9.99,3.59,4.75,1,1.1,,
A119,11142711005098624,12/1/20,20025449,L,6,A119,31.6,35.14,4.74,17.99,12.41,9.5,1,-3.54,,
A120,11257751069016266,12/1/20,20024693,J,1,A120,203.16,216.01,12.19,183.07,20.75,11.96,1,-12.85,,
A121,11418770199585012,12/1/20,20025447,L,6,A121,38.5,42.46,5.78,22.92,13.76,9.99,1,-3.96,,
A122,11370492706824215,12/1/20,20025446,L,10,A122,51.49,50.51,7.72,32,10.79,9.99,1,0.98,,
A123,11395814651670602,12/1/20,20024695,D,1,A123,23.1,22.81,2.77,11.52,8.52,58.52,0,0.29,,
A124,11453470614369018,12/1/20,20024702,C,1,A124,58.54,58.6,8.78,42.2,7.62,8.73,1,-0.06,,
A125,11364633388461819,12/1/20,20024703,L,1,A125,26.56,26.14,3.98,15.12,7.04,6.99,1,0.42,,
A126,11484642819360226,12/1/20,0462-11-,G,1,A126,163.31,187.25,24.5,134.62,28.13,11.99,1,-23.94,,
A127,11474553833455463,12/1/20,20024697,J,1,A127,54.97,51.76,8.25,33.45,10.06,9.38,1,3.21,,
A128,11379051436996204,12/1/20,20024698,J,1,A128,88.59,92.26,13.29,68.19,10.78,8.89,1,-3.67,,
A129,11437785994353040,12/1/20,20024704,C,1,A129,15.61,14.09,2.34,2.86,8.89,10.17,1,1.52,,
A130,11329871853285065,12/1/20,20024705,L,1,A130,23.71,22.88,3.56,14.88,4.44,5.75,1,0.83,,
A131,11486363911109017,12/1/20,20024706,L,4,A131,26.77,27.9,4.02,16.84,7.04,5.75,1,-1.13,,
A132,11289565632076247,12/1/20,20024707,L,4,A132,14.25,14.98,1.14,4.8,9.04,6.99,1,-0.73,,
A133,11172664640281825,12/1/20,20024708,L,1,A133,10.03,10.19,1.5,3.98,4.71,4.75,1,-0.16,,
A134,11165241739118617,12/1/20,20024709,C,1,A134,32.25,31.41,4.84,17.52,9.05,9.6,1,0.84,,
A135,11114378948793053,12/1/20,20024716,L,1,A135,16.23,18.6,2.43,7.13,9.04,6.99,1,-2.37,,
A136,11245083265801047,12/1/20,20025445,L,2,A136,33.34,20.87,5,12.24,3.63,4.75,1,12.47,,
A137,11120272098781056,12/1/20,20025444,L,4,A137,49.08,48.36,7.36,36.56,4.44,5.75,1,0.72,,
A138,11133285136746650,12/1/20,20024718,L,1,A138,11.53,10.24,1.73,4.07,4.44,6.99,1,1.29,,
A139,11204527825273821,12/1/20,20024719,L,12,A139,49.7,48.83,7.46,30.77,10.6,9.99,1,0.87,,
A140,11233894663834608,12/1/20,20024717,L,1,A140,32.19,31.21,4.83,21.73,4.65,4.75,1,0.98,,
A141,11236899661641843,12/1/20,20025443,L,1,A141,13.3,15.35,2,5.1,8.25,4.75,1,-2.05,,
A142,11398627553863440,12/1/20,0494-11-,G,1,A142,39.87,46.02,3.19,26.28,16.55,11.2,1,-6.15,,
A143,11244181643818650,12/1/20,20024725,L,2,A143,21.34,19.66,3.2,12.84,3.62,4.75,1,1.68,,
A144,11448663355873012,12/1/20,20024726,L,1,A144,8.53,8.21,0.68,3.23,4.3,4.75,1,0.32,,
A145,11488912545471428,12/1/20,20024715,J,1,A145,55.55,56.54,4.44,41.35,10.75,8.48,1,-0.99,,
A146,11341427472428263,12/1/20,20024720,L,1,A146,16.69,15.98,2.5,8.77,4.71,5.75,1,0.71,,
A147,11203257111493835,12/1/20,20024727,L,12,A147,34.17,34.64,5.13,21.38,8.13,7.5,1,-0.47,,
A148,11425485214053868,12/1/20,20024721,J,1,A148,421.39,421.76,33.71,380.81,7.24,9.38,1,-0.37,,
A149,11316880805911448,12/1/20,20024722,L,2,A149,18.39,21.78,2.76,9.98,9.04,5.75,1,-3.39,,
A150,11281372680137013,12/1/20,20024724,L,1,A150,13.93,16.32,2.09,5.98,8.25,5.75,1,-2.39,,
A151,11301193191225865,12/1/20,20024723,L,1,A151,12.59,11.13,1.89,5.96,3.28,4.75,1,1.46,,
A152,11341115796930659,12/1/20,20024730,L,2,A152,20.05,19.48,3.01,11.7,4.77,5.75,1,0.57,,
A153,11360423107269027,12/1/20,20024731,L,2,A153,20.36,23.16,3.05,11.86,8.25,5.75,1,-2.8,,
A154,11178218404233828,12/1/20,20024732,L,1,A154,16.51,14.73,2.48,7.64,4.61,5.75,1,1.78,,
A155,11438418910866627,12/1/20,20024733,L,4,A155,128.76,115.07,19.32,86.92,8.83,5.75,1,13.69,,
A156,11172631330511435,12/1/20,0626-11-,G,1,A156,605.98,656.05,90.9,495.15,70,26,1,-50.07,,
A157,11481167450747461,12/1/20,20024729,J,1,A157,55.13,58.02,4.41,41.35,12.26,8.48,1,-2.89,,
A158,11415164330356249,12/1/20,20024734,L,4,A158,15.69,16.19,2.35,4.8,9.04,6.99,1,-0.5,,
A159,11127995499124254,12/1/20,20024735,L,1,A159,18.27,17.37,2.74,11.01,3.62,4.75,1,0.9,,
A160,11384868314673818,12/1/20,20024736,L,48,A160,161.96,128.95,24.28,83.24,21.43,9.99,1,33.01,,
A161,11286345659761004,12/1/20,20024740,L,1,A161,11.28,11.2,1.69,5.07,4.44,4.75,1,0.08,,
A162,11174866370123450,12/1/20,0627-11-,G,1,A162,159.18,181.89,23.88,134.62,23.39,11.99,1,-22.71,,
A163,11250640174742660,12/1/20,0628-11-,G,1,A163,141.45,153.66,11.32,119.83,22.51,11.5,1,-12.21,,
A164,11383022733605802,12/1/20,20025284,L,1,A164,32.19,31.21,4.83,21.73,4.65,4.75,1,0.98,,
A165,11223844266581815,12/1/20,0771-11-,G,1,A165,141.45,152.31,11.32,119.83,21.16,11.5,1,-10.86,,
A166,11468140635025061,12/1/20,0773-11-,G,1,A166,141.45,154.66,11.32,119.83,23.51,11.5,1,-13.21,,
A167,11261944392781863,12/1/20,0770-11-,G,1,A167,141.45,150.91,11.32,119.83,19.76,11.5,1,-9.46,,
A168,11195364725041003,12/1/20,0774-11-,G,1,A168,141.45,154.93,11.59,119.83,23.51,11.5,1,-13.48,,
A169,11105677329316210,12/1/20,20024746,L,1,A169,18.31,17.38,2.75,11.01,3.62,4.75,1,0.93,,
A170,11267122540809056,12/1/20,0775-11-,G,1,A170,141.45,160.11,11.32,119.83,28.96,11.5,1,-18.66,,
A171,11153180818407427,12/1/20,20025814,L,1,A171,50.18,50.52,7.53,35.67,7.32,6.99,1,-0.34,,
A172,11279979704374667,12/1/20,20024747,L,1,A172,12.07,15.95,1.81,5.1,9.04,4.75,1,-3.88,,
A173,11462952767244221,12/1/20,20024748,L,1,A173,32.19,31.17,4.83,21.73,4.61,4.75,1,1.02,,
A174,11177209738412255,12/1/20,20024749,D,4,A174,136.84,93.84,16.44,68.88,8.52,58.52,0,43,,
A175,11109350128925863,12/1/20,20024750,D,1,A175,34.21,29.85,4.11,17.22,8.52,58.52,0,4.36,,
A176,11325752337195406,12/1/20,20024751,D,1,A176,34.21,29.85,4.11,17.22,8.52,58.52,0,4.36,,
A177,11241607577020264,12/1/20,20024752,I,1,A177,108.7,108.88,8.7,82.99,17.19,17.52,0,-0.18,,
A178,11416901233789848,12/1/20,0780-11-,G,1,A178,141.44,152.31,11.32,120.83,20.16,11.5,1,-10.87,,
A179,11280876453920217,12/1/20,20025859,L,2,A179,18.39,21.78,2.76,9.98,9.04,5.75,1,-3.39,,
A180,11391945639803404,12/1/20,20024754,J,1,A180,54.77,57.74,8.22,38.83,10.69,8.55,1,-2.97,,
A181,11192089464589053,12/1/20,0787-11-,G,1,A181,143.86,154.85,11.51,120.83,22.51,11.5,1,-10.99,,
A182,11495190873193826,12/1/20,20024757,L,12,A182,24.85,25.41,3.73,13.43,8.25,6.99,1,-0.56,,
A183,11143866355109042,12/1/20,20024759,L,3,A183,42.89,40.97,6.43,25.5,9.04,6.99,1,1.92,,
A184,11161991515779457,12/1/20,20024758,L,4,A184,73.2,64.08,11,44.04,9.04,6.99,1,9.12,,
A185,11248397170146649,12/1/20,20024760,L,1,A185,13.03,11.94,1.95,5.59,4.4,5.75,1,1.09,,
A186,11473181830015464,12/1/20,20024764,L,6,A186,26.92,26.07,4.04,11.7,10.33,9.5,1,0.85,,
A187,11276687125342623,12/1/20,20024765,L,1,A187,10.97,9.54,0.88,4.22,4.44,4.75,1,1.43,,
A188,11485558842900233,12/1/20,20024766,L,6,A188,34.09,29.62,5.11,11.67,12.84,9.99,1,4.47,,
A189,11471791860632261,12/1/20,20024763,I,1,A189,36.48,34.26,5.47,18.99,9.8,11.43,0,2.22,,
A190,11375055681743419,12/1/20,20024767,L,1,A190,45.51,44.92,6.83,29.61,8.48,9.99,1,0.59,,
