Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,Flag,Profit,Weight,,
A50,11296423852998644,12/1/20,20024821,L,18,A50,16.28,16.74,2.44,5.47,8.83,7.5,1,-0.46,2,,
A51,11343927188679447,12/1/20,20024823,L,12,A51,25.92,27.04,3.89,15.57,7.58,6.99,1,-1.12,1.32,,
A52,11314505803990635,12/1/20,20024822,L,4,A52,69.98,59.52,10.5,16.74,32.28,19,1,10.46,39.2,,
A53,11412920501809046,12/1/20,20024820,L,1,A53,55.47,56.44,8.32,43.51,4.61,4.75,1,-0.97,0.88,,
A54,11462831096587425,12/1/20,20024825,L,4,A54,33.79,34.06,5.07,21.05,7.94,6.99,1,-0.27,0.58,,
A55,11438157519781859,12/1/20,20024824,L,2,A55,64.38,62.16,9.66,43.46,9.04,4.75,1,2.22,0.34,,
A56,11466558350071416,12/1/20,20024829,L,12,A56,24.85,25.41,3.73,13.43,8.25,6.99,1,-0.56,1.49,,
A57,11108922562797005,12/1/20,20024830,L,12,A57,79.76,84.78,11.96,52.29,20.53,13.99,1,-5.02,20,,
A58,11377273838202628,12/1/20,20024813,L,1,A58,30.17,30.83,4.53,19.26,7.04,6.99,1,-0.66,1.5,,
A59,11190908343926617,12/1/20,20024828,L,6,A59,38.03,41.64,5.7,23.1,12.84,9.99,1,-3.61,10,,
A60,11169769922281053,12/1/20,20024832,L,6,A60,38.61,40.52,4.63,20.03,15.86,9.99,1,-1.91,10,,
A61,11153401663574645,12/1/20,20024831,L,8,A61,203.18,188.77,30.48,145.12,13.17,13.99,1,14.41,19.6,,
A62,11290356979373835,12/1/20,20024833,L,12,A62,33.09,33.52,4.96,15.57,12.99,10.99,1,-0.43,15,,
A63,11170091717265046,12/1/20,20024840,L,6,A63,37.89,30.41,5.68,15.9,8.83,7.5,1,7.48,2.04,,
A64,11454139749418633,12/1/20,20024836,L,1,A64,11.65,10.67,0.93,6.12,3.62,4.75,1,0.98,0.35,,
A65,11433753981517023,12/1/20,20024837,L,4,A65,48.04,38.99,7.2,20.56,11.23,8.75,1,9.05,4.32,,
A66,11443743597960267,12/1/20,20024838,L,2,A66,34.61,34.56,5.19,19.48,9.89,7.5,1,0.05,2.2,,
A67,11315606334230634,12/1/20,20024839,L,12,A67,24.85,25.41,3.73,13.43,8.25,6.99,1,-0.56,1.49,,
A68,11438068069441828,12/1/20,20024841,L,12,A68,32.89,33.45,4.93,14.07,14.45,9.99,1,-0.56,9.35,,
A69,11149280893166659,12/1/20,20024846,L,1,A69,37.51,34.74,5.63,20.52,8.59,6.99,1,2.77,1.67,,
A70,11106881783508231,12/1/20,20024842,L,2,A70,58.04,53.46,8.7,36.26,8.5,7.5,1,4.58,2.06,,
A71,11145637214545846,12/1/20,20024847,L,1,A71,20.76,20.31,3.11,9.62,7.58,6.99,1,0.45,1.1,,
